,custody_type,race,death_type,age
664,2,1,5,79.0
665,0,1,6,51.0
666,2,1,5,57.0
667,0,4,7,30.0
668,2,1,7,39.0
669,2,1,5,47.0
670,2,1,5,56.0
671,2,1,5,67.0
672,2,1,4,30.0
673,2,1,5,56.0
674,0,1,7,42.0
675,2,1,5,74.0
676,2,3,5,51.0
677,2,4,5,53.0
678,2,1,5,49.0
679,2,3,5,59.0
680,2,3,5,47.0
681,0,1,7,52.0
682,2,3,5,46.0
683,3,4,7,35.0
684,2,3,5,48.0
685,2,3,5,67.0
686,0,1,5,54.0
687,2,3,5,55.0
688,2,1,5,55.0
689,1,1,5,55.0
690,3,3,3,15.0
691,3,1,3,22.0
692,2,3,5,80.0
693,0,3,5,65.0
694,3,7,3,29.0
695,0,2,7,44.0
696,2,1,5,55.0
697,2,1,5,60.0
698,2,3,5,31.0
699,2,1,7,27.0
700,0,3,5,62.0
701,2,1,5,64.0
702,2,1,5,62.0
703,0,1,7,54.0
704,3,1,5,45.0
705,0,1,7,18.0
706,2,1,5,25.0
707,0,4,5,19.0
708,3,3,6,20.0
709,0,3,5,32.0
710,0,1,5,38.0
711,2,3,5,29.0
712,3,1,7,26.0
713,3,1,2,29.0
714,3,1,3,25.0
715,2,3,5,28.0
716,0,1,7,25.0
717,3,1,3,25.0
718,3,4,3,20.0
719,3,1,3,45.0
720,3,1,7,37.0
721,2,1,7,37.0
722,3,3,3,29.0
723,0,1,5,45.0
724,3,3,3,20.0
725,2,1,5,19.0
726,3,3,2,40.0
727,0,1,7,29.0
728,2,1,5,36.0
729,2,1,5,51.0
730,2,1,5,56.0
731,0,3,5,56.0
732,2,1,5,39.0
733,2,1,5,62.0
734,2,1,7,49.0
735,0,1,7,45.0
736,2,1,5,42.0
737,2,1,7,49.0
738,2,3,7,39.0
739,3,1,3,45.0
740,3,3,3,24.0
741,3,1,7,52.0
742,3,1,3,47.0
743,3,7,3,23.0
744,1,1,2,32.0
745,3,2,3,45.0
746,0,3,5,47.0
747,3,1,7,39.0
748,2,1,5,44.0
749,3,1,3,37.0
750,3,1,3,26.0
751,1,4,7,20.0
752,2,3,5,76.0
753,2,3,5,20.0
754,2,3,7,37.0
755,3,3,3,27.0
756,3,3,7,17.0
757,2,3,5,53.0
758,2,1,5,56.0
759,2,1,5,51.0
760,2,1,7,35.0
761,2,3,5,49.0
762,2,3,5,46.0
763,0,1,7,57.0
764,2,1,5,63.0
765,0,1,5,46.0
766,1,1,7,34.0
767,3,1,3,45.0
768,3,1,3,36.0
769,0,1,7,31.0
770,0,1,7,26.0
771,2,3,5,51.0
772,3,1,2,45.0
773,2,3,7,22.0
774,0,1,7,45.0
775,2,3,7,54.0
776,2,3,5,45.0
777,0,1,5,59.0
778,2,1,5,81.0
779,2,3,5,59.0
780,0,3,5,54.0
781,2,1,5,74.0
782,2,1,5,49.0
783,0,3,5,28.0
784,3,3,3,20.0
785,2,3,6,53.0
786,2,1,5,50.0
787,0,1,5,42.0
788,2,3,5,56.0
789,2,3,6,34.0
790,2,1,5,63.0
791,2,3,5,52.0
792,3,4,3,35.0
793,3,1,3,19.0
794,3,3,3,23.0
795,2,3,5,33.0
796,2,3,5,49.0
797,2,1,5,71.0
798,2,1,5,67.0
799,0,3,7,33.0
